t	r		Fi		V		Teta		W		Alfa		q		nx		ny		h

49	6389198.737147	0.000588	854.049654	1.222976	1384.771507	-0.128648	34550.420008	3.446240	-0.479498	18198.74
50	6390011.881267	0.000635	878.798967	1.213664	1420.359273	-0.130925	32628.531488	3.488247	-0.491949	19011.88
51	6390845.563923	0.000684	903.991425	1.204386	1456.308654	-0.133233	30706.046189	3.531227	-0.504732	19845.56
52	6391699.977220	0.000736	929.636691	1.195141	1492.627710	-0.135571	28796.011655	3.575185	-0.517868	20699.98
53	6392575.313594	0.000791	955.744454	1.185928	1529.325054	-0.137939	26910.509816	3.620128	-0.531378	21575.31
54	6393471.765583	0.000849	982.324454	1.176748	1566.409852	-0.140337	25060.573113	3.666067	-0.545284	22471.77
55	6394389.525615	0.000909	1009.386506	1.167600	1603.891835	-0.142764	23256.120532	3.713013	-0.559606	23389.53
56	6395328.785803	0.000973	1036.940530	1.158484	1641.781299	-0.145220	21505.913539	3.760982	-0.574368	24328.79
57	6396289.737759	0.001039	1064.996581	1.149398	1680.089107	-0.147704	19817.531559	3.809992	-0.589591	25289.74
58	6397272.572421	0.001109	1093.564887	1.140343	1718.826700	-0.150214	18197.366274	3.860065	-0.605297	26272.57
59	6398277.479901	0.001182	1122.655880	1.131317	1758.006093	-0.152751	16650.633744	3.911228	-0.621511	27277.48
60	6399304.649351	0.001258	1152.280238	1.122320	1797.639880	-0.155313	15181.403002	3.963508	-0.638254	28304.65
61	6400354.268850	0.001338	1182.448923	1.113350	1837.741239	-0.157898	13792.639573	4.016940	-0.655549	29354.27
62	6401426.525312	0.001421	1213.173220	1.104406	1878.323936	-0.160507	12486.262125	4.071560	-0.673419	30426.53
63	6402521.604416	0.001509	1244.464785	1.095488	1919.402331	-0.163137	11263.210329	4.127413	-0.691887	31521.60
64	6403639.690556	0.001599	1276.335682	1.086594	1960.991389	-0.165788	10123.521862	4.184542	-0.710978	32639.69
65	6404780.966813	0.001694	1308.798433	1.077723	2003.106686	-0.168458	9066.416485	4.243000	-0.730714	33780.97
